time,temperature_2m_max,temperature_2m_min,precipitation_sum
2016-03-17,37.3,26.6,0.0
2016-03-18,37.5,27.1,0.5
2016-03-19,36.7,28.1,0.5
2016-03-20,38.1,28.6,0.0
2016-03-21,36.4,28.9,0.1
2016-03-22,37.1,29.0,4.4
2016-03-23,37.3,27.1,2.3
2016-03-24,36.9,28.4,3.0
2016-03-25,36.9,28.1,0.5
2016-03-26,38.0,27.9,0.3
2016-03-27,37.8,28.1,0.2
2016-03-28,37.3,27.8,0.1
2016-03-29,37.3,27.1,5.0
2016-03-30,37.0,27.3,2.4
2016-03-31,37.8,28.0,1.0
2016-04-01,38.0,27.8,1.2
2016-04-02,37.4,27.9,2.9
2016-04-03,37.3,28.8,0.5
2016-04-04,36.6,29.1,2.5
2016-04-05,34.5,28.3,2.0
2016-04-06,36.3,26.7,2.3
2016-04-07,38.4,28.1,1.5
2016-04-08,38.3,27.8,1.7
2016-04-09,35.3,26.2,3.3
2016-04-10,37.5,27.0,3.0
2016-04-11,36.0,28.2,1.7
2016-04-12,37.1,28.5,0.8
2016-04-13,36.8,28.5,0.9
2016-04-14,37.0,29.0,3.2
2016-04-15,35.7,27.3,6.6
2016-04-16,35.8,27.8,3.7
2016-04-17,35.3,28.2,1.4
2016-04-18,36.7,28.4,0.3
2016-04-19,36.6,28.2,2.8
2016-04-20,36.6,27.8,1.4
2016-04-21,34.5,27.6,4.5
2016-04-22,35.0,28.0,2.2
2016-04-23,35.6,28.3,1.5
2016-04-24,36.3,29.1,0.2
2016-04-25,36.4,29.6,0.0
2016-04-26,37.8,28.6,0.2
2016-04-27,39.3,29.1,2.0
2016-04-28,36.7,28.7,2.7
2016-04-29,37.4,28.9,1.4
2016-04-30,38.7,28.6,1.5
2016-05-01,37.3,27.5,2.3
2016-05-02,36.1,27.9,1.2
2016-05-03,35.9,27.5,0.4
2016-05-04,36.1,27.5,5.6
2016-05-05,37.4,26.9,8.8
2016-05-06,36.0,26.3,3.8
2016-05-07,35.9,27.4,10.3
2016-05-08,36.2,27.5,4.4
2016-05-09,35.2,27.2,2.8
2016-05-10,34.6,25.8,19.3
2016-05-11,30.9,25.6,6.5
2016-05-12,33.5,25.7,17.9
2016-05-13,33.6,25.1,10.8
2016-05-14,34.3,24.9,15.2
2016-05-15,30.9,25.3,12.0
2016-05-16,28.4,25.2,8.6
2016-05-17,26.9,24.5,30.9
2016-05-18,29.8,24.3,24.6
2016-05-19,31.5,25.2,14.2
2016-05-20,30.7,24.5,21.8
2016-05-21,32.2,26.2,3.9
2016-05-22,32.9,27.3,9.9
2016-05-23,33.2,27.6,10.6
2016-05-24,31.9,27.2,13.7
2016-05-25,31.3,26.7,14.2
2016-05-26,32.4,26.3,6.2
2016-05-27,30.9,25.9,14.9
2016-05-28,30.4,25.7,15.8
2016-05-29,32.2,24.9,13.0
2016-05-30,30.8,25.1,22.7
2016-05-31,28.8,25.0,34.4
2016-06-01,28.8,25.5,48.6
2016-06-02,30.9,25.1,27.7
2016-06-03,29.6,25.0,22.1
2016-06-04,28.6,26.3,15.9
2016-06-05,30.6,26.0,8.4
2016-06-06,29.7,25.8,12.1
2016-06-07,28.7,25.7,19.6
2016-06-08,26.9,25.4,58.4
2016-06-09,29.3,25.4,33.0
2016-06-10,27.8,25.2,23.5
2016-06-11,29.0,24.8,16.6
2016-06-12,29.2,25.0,20.7
2016-06-13,30.4,24.8,11.8
2016-06-14,30.9,25.2,4.7
2016-06-15,31.5,25.5,8.1
2016-06-16,29.4,25.0,13.9
2016-06-17,27.7,24.6,26.8
2016-06-18,25.9,23.6,47.1
2016-06-19,29.4,23.9,18.5
2016-06-20,29.3,23.8,19.4
2016-06-21,26.9,24.2,23.0
2016-06-22,30.3,24.0,16.6
2016-06-23,29.0,24.0,12.7
2016-06-24,28.1,24.2,34.5
2016-06-25,28.5,23.6,18.1
2016-06-26,31.6,24.5,6.5
2016-06-27,29.2,25.3,25.7
2016-06-28,29.6,24.9,25.0
2016-06-29,29.0,25.4,11.2
2016-06-30,30.2,24.6,10.3
2016-07-01,31.6,26.0,11.6
2016-07-02,31.6,25.8,3.8
2016-07-03,31.0,25.2,5.8
2016-07-04,30.2,24.5,18.7
2016-07-05,30.5,24.6,15.3
2016-07-06,30.2,24.9,25.3
2016-07-07,29.6,24.8,6.0
2016-07-08,28.7,24.7,27.0
2016-07-09,29.0,24.5,13.8
2016-07-10,28.3,24.8,12.3
2016-07-11,28.3,24.7,13.6
2016-07-12,29.9,24.2,9.7
2016-07-13,29.6,23.8,4.9
2016-07-14,29.2,24.6,22.4
2016-07-15,28.9,24.8,17.5
2016-07-16,29.2,24.0,12.5
2016-07-17,29.5,24.2,4.6
2016-07-18,28.3,24.0,27.4
2016-07-19,30.0,23.5,1.4
2016-07-20,28.7,24.5,7.4
2016-07-21,29.0,24.6,4.2
2016-07-22,29.3,24.9,6.2
2016-07-23,29.2,24.3,12.2
2016-07-24,27.6,24.3,36.3
2016-07-25,29.2,24.7,16.8
2016-07-26,29.5,24.7,29.1
